"","PLAYER","GP","GS","MIN","PPG","OFFR","DEFR","RPG","APG","SPG","BPG","TPG","FPG","A/TO","PER"
"2","John Collins, PF","14","12","29.1","18.5","3.1","6.2","9.3","2.4","0.07","0.64","2.6","2.9","0.9","20.2"
"3","Trae Young, PG","29","29","29.3","15.4","0.6","2.1","2.7","7.2","0.72","0.34","3.9","1.5","1.9","11.6"
"4","Taurean Prince, SF","21","20","28.7","15.0","0.3","3.7","4.0","2.3","1.14","0.33","2.6","3.0","0.9","11.8"
"5","Kent Bazemore, SG","29","24","26.9","13.2","0.5","3.4","3.9","2.6","1.79","0.90","2.2","2.5","1.2","14.4"
"6","Jeremy Lin, PG","25","0","18.2","10.6","0.2","2.0","2.2","3.1","0.84","0.08","2.0","1.9","1.6","17.3"
"7","Alex Len, C","27","17","19.1","9.3","1.6","3.1","4.8","0.9","0.30","0.85","1.5","2.9","0.6","13.7"
"8","Dewayne Dedmon, C","23","12","23.3","8.5","1.4","5.8","7.2","1.0","1.22","1.09","1.1","3.2","0.9","13.7"
"9","DeAndre' Bembry, SF","29","2","22.7","8.3","0.5","3.8","4.3","2.7","1.31","0.69","1.6","2.4","1.7","11.1"
"10","Vince Carter, SF","26","8","17.5","7.2","0.3","2.0","2.3","1.0","0.54","0.38","0.5","1.6","2.3","11.3"
"11","Kevin Huerter, SG","28","12","22.6","7.0","0.8","2.3","3.1","2.2","0.75","0.39","1.3","1.8","1.7","10.1"
"12","Omari Spellman, PF","22","8","18.2","6.3","1.9","2.5","4.5","1.0","0.77","0.59","0.7","1.5","1.5","13.1"
"13","Alex Poythress, F","13","1","15.0","5.0","1.5","2.2","3.8","0.8","0.23","0.38","0.6","2.4","1.4","12.0"
"14","Miles Plumlee, C","16","0","9.7","4.8","1.0","1.3","2.3","0.9","0.38","0.25","0.6","0.8","1.6","20.5"
"15","Justin Anderson, SG","12","0","7.5","4.1","0.5","0.8","1.3","0.5","0.50","0.17","0.3","1.0","1.5","16.9"
"16","Tyler Dorsey, SG","16","0","10.8","3.9","0.4","1.6","1.9","0.9","0.25","0.00","0.5","0.8","1.8","7.3"
