"","PLAYER","GP","GS","MIN","PPG","OFFR","DEFR","RPG","APG","SPG","BPG","TPG","FPG","A/TO","PER"
"2","Kyrie Irving, PG","27","27","31.7","22.7","1.1","3.6","4.8","6.3","1.70","0.44","2.7","2.4","2.3","24.3"
"3","Jayson Tatum, SF","29","29","31.2","16.7","1.3","5.2","6.5","1.8","1.03","0.52","1.6","2.2","1.1","16.7"
"4","Marcus Morris, PF","28","11","27.1","14.9","0.8","5.4","6.2","1.5","0.61","0.18","1.5","2.8","1.0","16.8"
"5","Al Horford, C","22","22","30.0","12.4","1.5","4.8","6.4","3.4","0.77","1.73","1.5","1.9","2.2","17.2"
"6","Jaylen Brown, SG","24","19","27.3","11.7","1.2","3.0","4.2","1.5","0.67","0.58","1.5","2.7","1.0","10.1"
"7","Gordon Hayward, SF","25","15","26.4","10.9","1.0","4.2","5.2","3.6","1.12","0.24","1.4","1.4","2.5","15.5"
"8","Terry Rozier, PG","29","2","23.2","8.5","0.5","3.7","4.2","2.6","0.86","0.24","0.9","1.7","3.0","12.0"
"9","Daniel Theis, PF","19","2","14.4","7.1","1.4","2.2","3.6","0.9","0.16","0.53","0.7","3.1","1.3","17.5"
"10","Marcus Smart, PG","29","9","25.2","7.1","0.8","2.0","2.8","4.1","1.76","0.41","1.4","2.7","3.0","13.0"
"11","Aron Baynes, C","24","8","14.8","5.5","1.6","2.8","4.4","1.3","0.17","0.46","0.8","2.3","1.7","15.0"
"12","Semi Ojeleye, PF","21","1","11.2","3.7","0.4","1.4","1.9","0.1","0.14","0.05","0.3","0.6","0.3","7.5"
"13","PJ Dozier, PG","2","0","4.0","3.5","1.0","1.0","2.0","0.0","0.00","0.00","0.0","0.5","0.0","31.7"
"14","Brad Wanamaker, PG","11","0","7.9","3.2","0.0","1.0","1.0","1.4","0.18","0.00","0.7","0.2","1.9","13.1"
"15","Robert Williams, C","13","0","7.6","2.3","0.9","1.7","2.6","0.1","0.08","1.31","0.2","0.8","0.5","21.5"
"16","Guerschon Yabusele, PF","14","0","5.4","1.8","0.5","0.6","1.1","0.4","0.29","0.07","0.1","0.9","6.0","12.2"
