"","PLAYER","GP","GS","MIN","PPG","OFFR","DEFR","RPG","APG","SPG","BPG","TPG","FPG","A/TO","PER"
"2","Caris LeVert, SG","14","14","29.7","18.4","1.0","3.3","4.3","3.7","1.21","0.36","2.1","2.4","1.7","18.8"
"3","D'Angelo Russell, PG","31","31","29.0","18.0","0.5","3.2","3.8","6.0","1.26","0.26","2.8","1.7","2.2","17.8"
"4","Spencer Dinwiddie, PG","31","3","28.6","17.2","0.5","2.0","2.5","5.0","0.58","0.32","2.1","3.0","2.4","18.9"
"5","Joe Harris, SF","28","28","29.5","13.1","0.7","2.8","3.5","2.5","0.61","0.18","1.4","3.0","1.8","14.1"
"6","Jarrett Allen, C","29","29","27.3","12.1","2.8","5.4","8.1","1.6","0.52","1.45","1.4","2.8","1.2","20.1"
"7","Rondae Hollis-Jefferson, SF","27","12","24.1","10.1","1.4","4.4","5.9","1.8","0.93","0.41","1.2","1.9","1.5","13.3"
"8","Allen Crabbe, SG","28","15","26.1","9.5","0.5","3.0","3.5","1.1","0.61","0.29","1.1","2.4","0.9","7.7"
"9","DeMarre Carroll, SF","20","0","22.8","9.0","1.1","4.0","5.1","0.9","0.45","0.10","1.2","1.5","0.7","10.4"
"10","Rodions Kurucs, SF","14","2","15.3","7.9","0.9","2.4","3.4","0.4","0.43","0.07","0.9","1.7","0.5","15.9"
"11","Shabazz Napier, PG","23","0","15.0","7.7","0.3","1.3","1.6","1.4","0.74","0.30","0.9","1.2","1.6","14.5"
"12","Ed Davis, PF","31","1","17.8","5.8","3.3","5.1","8.4","0.8","0.42","0.35","0.7","2.9","1.0","18.2"
"13","Jared Dudley, SF","31","20","21.1","4.8","0.7","2.0","2.6","1.4","0.58","0.26","0.8","2.6","1.8","7.2"
"14","Kenneth Faried, PF","9","0","5.6","2.8","0.8","1.1","1.9","0.1","0.11","0.11","0.4","0.3","0.3","21.7"
"15","Dzanan Musa, SG","7","0","3.7","1.7","0.1","0.3","0.4","0.1","0.29","0.00","0.4","0.1","0.3","5.9"
"16","Theo Pinson, SG","3","0","5.0","0.7","0.0","0.3","0.3","1.3","0.00","0.00","0.0","0.0","0.0","7.3"
