"","PLAYER","GP","GS","MIN","PPG","OFFR","DEFR","RPG","APG","SPG","BPG","TPG","FPG","A/TO","PER"
"2","Kemba Walker, PG","29","29","34.7","24.9","0.4","4.1","4.5","6.3","1.31","0.38","2.6","1.7","2.5","21.5"
"3","Jeremy Lamb, SG","29","29","28.4","15.0","0.9","4.8","5.6","1.8","1.17","0.31","0.9","2.1","2.0","16.8"
"4","Malik Monk, SG","28","0","19.3","10.6","0.3","1.5","1.8","1.9","0.57","0.29","1.3","1.6","1.5","12.6"
"5","Tony Parker, PG","26","0","19.3","9.9","0.2","1.4","1.6","4.2","0.58","0.12","1.2","0.8","3.4","16.6"
"6","Cody Zeller, C","28","28","24.7","9.8","2.1","3.8","5.9","2.0","0.82","0.79","1.2","3.2","1.7","17.6"
"7","Nicolas Batum, SF","29","29","30.2","9.1","1.1","4.2","5.2","3.5","0.86","0.45","1.7","1.7","2.1","11.8"
"8","Marvin Williams, PF","28","28","25.6","8.9","0.8","4.5","5.3","1.0","0.82","0.71","0.5","2.1","2.0","12.3"
"9","Michael Kidd-Gilchrist, SF","22","1","19.5","8.0","1.8","3.5","5.3","1.1","0.36","1.14","0.7","2.9","1.7","16.0"
"10","Miles Bridges, SF","28","0","20.3","7.8","0.6","3.2","3.8","1.0","0.64","0.79","0.6","1.4","1.5","14.2"
"11","Willy Hernangomez, C","21","1","12.7","7.3","1.7","2.8","4.5","0.8","0.38","0.43","0.9","1.8","0.9","23.2"
"12","Frank Kaminsky, PF","18","0","12.6","6.2","0.7","1.9","2.6","1.1","0.22","0.28","0.8","1.3","1.4","15.8"
"13","Dwayne Bacon, SG","16","0","12.6","5.8","0.1","1.7","1.8","0.9","0.19","0.00","0.5","1.4","1.8","13.0"
"14","Devonte' Graham, PG","12","0","8.9","2.6","0.0","0.8","0.8","1.6","0.25","0.00","0.5","0.6","3.2","8.6"
"15","Bismack Biyombo, C","10","0","7.7","1.8","0.5","1.3","1.8","0.2","0.10","0.90","0.4","1.7","0.5","10.1"
"16","Totals","29","--","--","113.8","9.4","34.4","43.8","24.3","7.55","5.38","12.0","20.0","2.0","--"
