"","PLAYER","GP","GS","MIN","PPG","OFFR","DEFR","RPG","APG","SPG","BPG","TPG","FPG","A/TO","PER"
"2","Zach LaVine, PG","28","28","35.3","23.8","0.4","4.4","4.9","4.8","1.07","0.54","4.0","2.2","1.2","17.5"
"3","Jabari Parker, PF","29","17","30.1","15.2","1.2","5.7","6.9","2.3","0.62","0.34","2.6","2.3","0.9","12.8"
"4","Lauri Markkanen, PF","7","6","28.3","15.1","0.9","5.3","6.1","0.9","1.43","0.86","1.6","2.1","0.5","13.3"
"5","Justin Holiday, SF","30","30","35.2","12.5","0.5","4.0","4.5","2.4","1.83","0.47","1.2","2.1","2.0","12.3"
"6","Kris Dunn, PG","4","2","28.0","11.8","0.3","4.3","4.5","4.5","0.75","0.00","2.8","4.8","1.6","10.4"
"7","Bobby Portis, PF","7","4","24.6","10.7","1.4","7.0","8.4","1.4","0.43","0.86","1.0","2.9","1.4","13.4"
"8","Wendell Carter Jr., PF","30","30","25.1","10.6","1.9","4.9","6.8","2.0","0.57","1.53","1.6","3.5","1.2","15.6"
"9","Antonio Blakeney, SG","24","0","17.1","9.5","0.2","1.7","1.9","0.5","0.29","0.17","0.9","0.8","0.6","11.3"
"10","Ryan Arcidiacono, PG","29","18","28.5","7.1","0.3","2.5","2.8","3.8","1.03","0.03","1.0","2.6","3.8","10.6"
"11","Cameron Payne, PG","27","12","18.0","6.0","0.4","1.4","1.8","2.7","0.67","0.22","1.1","1.6","2.4","10.5"
"12","Robin Lopez, C","23","0","17.0","5.8","0.9","1.2","2.1","1.0","0.13","0.96","1.3","2.0","0.8","10.1"
"13","Shaquille Harrison, PG","21","0","16.0","5.5","0.3","2.3","2.6","1.7","1.52","0.29","0.8","1.3","2.1","13.6"
"14","Chandler Hutchison, SF","25","3","17.2","4.0","0.6","3.2","3.8","0.7","0.52","0.16","0.7","1.3","1.1","7.6"
"15","Cristiano Felicio, PF","20","0","12.2","3.4","1.0","2.6","3.5","0.5","0.15","0.10","0.7","1.1","0.8","11.3"
"16","Tyler Ulis, PG","1","0","1.0","0.0","0.0","0.0","0.0","0.0","0.00","0.00","0.0","0.0","0.0","0.0"
