"","PLAYER","GP","GS","MIN","PPG","OFFR","DEFR","RPG","APG","SPG","BPG","TPG","FPG","A/TO","PER"
"2","Kevin Love, PF","4","4","34.0","19.0","2.5","11.0","13.5","3.5","0.25","0.25","2.5","3.5","1.4","16.0"
"3","Jordan Clarkson, PG","30","0","25.6","16.7","1.1","2.4","3.5","2.2","0.60","0.13","1.6","1.7","1.3","17.7"
"4","Collin Sexton, PG","30","20","29.7","15.3","0.6","2.4","3.0","2.5","0.47","0.10","2.4","2.5","1.1","11.5"
"5","Rodney Hood, SG","29","29","28.0","13.0","0.3","2.1","2.4","2.1","0.76","0.10","0.9","2.5","2.3","13.7"
"6","Matthew Dellavedova, PG†","4","0","21.5","12.3","0.0","2.8","2.8","4.8","0.75","0.00","1.3","2.0","3.8","24.5"
"7","Tristan Thompson, C","27","27","30.3","12.0","5.0","6.6","11.6","2.1","0.81","0.41","1.5","2.3","1.4","20.2"
"8","Cedi Osman, SF","28","27","32.0","11.1","0.6","4.4","5.0","2.4","0.71","0.25","1.6","2.4","1.5","8.9"
"9","George Hill, PG†","13","13","26.5","10.8","0.9","1.2","2.1","2.8","0.92","0.08","1.5","2.7","1.8","13.9"
"10","Alec Burks, SG†","10","5","28.3","10.7","0.9","4.5","5.4","2.5","0.90","0.10","1.6","1.3","1.6","10.2"
"11","Larry Nance Jr., PF","28","8","24.5","8.1","1.9","4.9","6.8","3.0","1.25","0.68","1.2","3.0","2.4","17.7"
"12","Kyle Korver, SG†","16","0","15.7","6.8","0.0","1.8","1.8","1.1","0.19","0.13","1.1","1.4","1.0","11.8"
"13","JR Smith, SG","11","4","20.2","6.7","0.0","1.6","1.6","1.9","1.00","0.27","1.0","1.7","1.9","8.2"
"14","David Nwaba, SG","17","3","16.5","6.4","0.5","2.4","2.9","0.7","0.65","0.41","0.4","1.5","1.7","13.8"
"15","Sam Dekker, SF†","9","5","18.8","6.3","1.0","2.7","3.7","1.0","1.22","0.00","0.6","1.4","1.8","14.4"
"16","Andrew Harrison, SG†","10","0","14.4","4.3","0.4","1.1","1.5","1.7","0.40","0.20","1.0","2.6","1.7","6.9"
