"","PLAYER","GP","GS","MIN","PPG","OFFR","DEFR","RPG","APG","SPG","BPG","TPG","FPG","A/TO","PER"
"2","Luka Doncic, SF","27","27","32.4","18.2","1.0","5.7","6.7","4.6","1.07","0.33","3.6","2.1","1.3","16.1"
"3","Harrison Barnes, SF","24","24","31.5","17.8","0.8","3.5","4.3","1.2","0.75","0.29","1.6","1.7","0.7","13.8"
"4","Wesley Matthews, SG","24","24","30.8","14.7","0.5","1.9","2.4","2.4","0.88","0.21","1.2","2.3","2.0","13.3"
"5","Dennis Smith Jr., PG","21","21","28.4","13.0","0.6","2.4","3.0","4.0","1.29","0.48","3.3","2.6","1.2","11.5"
"6","J.J. Barea, PG","25","0","19.4","11.4","0.3","2.1","2.4","5.4","0.64","0.04","1.7","1.3","3.1","18.9"
"7","DeAndre Jordan, C","28","28","31.4","11.0","3.0","10.9","13.9","2.1","0.64","1.04","2.4","2.4","0.9","17.8"
"8","Dwight Powell, PF","25","0","16.6","8.8","1.3","3.0","4.2","1.1","0.60","0.60","1.0","2.8","1.0","20.4"
"9","Dorian Finney-Smith, SF","28","11","26.4","8.6","1.8","2.8","4.5","0.8","1.14","0.57","0.9","2.9","0.8","12.2"
"10","Devin Harris, PG","18","0","15.6","6.4","0.1","1.7","1.8","1.5","1.00","0.28","0.8","1.5","1.9","13.5"
"11","Maximilian Kleber, PF","25","0","17.8","6.4","1.2","2.4","3.6","0.7","0.52","1.24","0.6","1.4","1.3","14.9"
"12","Jalen Brunson, PG","25","5","15.6","5.9","0.3","1.1","1.4","1.8","0.56","0.00","0.6","1.2","2.8","11.4"
"13","Dirk Nowitzki, PF","2","0","7.5","2.5","0.0","2.5","2.5","0.0","0.00","0.00","0.5","0.5","0.0","2.5"
"14","Salah Mejri, C","9","0","6.2","1.8","0.6","1.8","2.3","0.3","0.00","0.11","0.3","0.9","1.0","12.4"
"15","Ryan Broekhoff, SG","14","0","5.2","1.6","0.1","0.8","0.9","0.2","0.07","0.07","0.1","0.3","1.5","8.2"
"16","Ray Spalding, PF","1","0","1.0","0.0","0.0","0.0","0.0","0.0","0.00","0.00","0.0","0.0","0.0","0.0"
