"","PLAYER","GP","GS","MIN","PPG","OFFR","DEFR","RPG","APG","SPG","BPG","TPG","FPG","A/TO","PER"
"2","Nikola Jokic, C","29","29","30.8","17.7","2.6","7.4","9.9","7.5","1.45","0.66","2.9","2.9","2.6","25.3"
"3","Jamal Murray, PG","29","28","34.4","17.5","0.9","3.6","4.4","4.7","0.93","0.45","2.4","2.1","2.0","14.1"
"4","Gary Harris, SG","21","21","32.3","16.6","0.7","2.5","3.2","2.9","1.19","0.43","1.2","2.2","2.3","15.1"
"5","Will Barton, SG","2","2","27.0","16.5","0.0","5.0","5.0","3.0","0.50","1.00","1.5","2.5","2.0","22.7"
"6","Paul Millsap, PF","25","25","26.8","13.6","2.1","4.9","7.0","2.0","1.36","1.12","1.6","2.6","1.2","20.0"
"7","Monte Morris, PG","29","1","24.9","9.9","0.4","2.3","2.7","4.1","0.97","0.07","0.7","1.2","6.2","16.1"
"8","Juan Hernangomez, PF","28","17","27.5","9.8","1.6","4.0","5.6","1.0","0.54","0.50","0.8","1.9","1.3","14.0"
"9","Trey Lyles, PF","29","1","20.7","9.8","0.8","4.0","4.7","1.5","0.59","0.48","1.6","1.7","1.0","11.9"
"10","Malik Beasley, SG","29","0","19.1","7.9","0.3","2.1","2.4","0.9","0.45","0.10","0.6","1.3","1.6","11.7"
"11","Mason Plumlee, PF","29","3","18.4","7.1","2.1","3.3","5.4","2.1","1.10","1.00","1.5","3.3","1.4","18.5"
"12","Torrey Craig, SF","24","18","19.1","4.8","1.3","2.2","3.5","0.8","0.46","0.46","0.8","2.3","1.0","7.9"
"13","Nick Young, SG","2","0","7.5","4.5","0.0","0.5","0.5","0.0","0.00","0.00","1.0","1.0","0.0","14.8"
"14","Tyler Lydon, PF","9","0","3.2","1.8","0.2","0.2","0.4","0.0","0.00","0.00","0.1","0.3","0.0","19.7"
"15","DeVaughn Akoon-Purcell, G","7","0","3.1","1.0","0.1","0.4","0.6","0.9","0.29","0.00","0.3","0.6","3.0","8.7"
"16","Thomas Welsh, C","6","0","2.2","0.8","0.0","0.5","0.5","0.3","0.00","0.00","0.2","0.2","2.0","15.5"
