"","PLAYER","GP","GS","MIN","PPG","OFFR","DEFR","RPG","APG","SPG","BPG","TPG","FPG","A/TO","PER"
"2","Blake Griffin, PF","26","26","35.7","25.7","1.4","7.7","9.1","5.0","0.65","0.50","3.7","2.8","1.4","21.6"
"3","Andre Drummond, C","27","27","33.0","18.3","5.8","9.7","15.6","1.2","1.41","1.96","2.4","3.5","0.5","22.7"
"4","Reggie Jackson, PG","27","27","28.4","15.2","0.6","2.0","2.6","4.3","0.78","0.15","1.9","3.1","2.2","14.2"
"5","Reggie Bullock, SG","19","19","28.4","10.4","0.4","1.9","2.3","2.4","0.63","0.11","1.1","1.5","2.3","10.2"
"6","Langston Galloway, SG","26","1","25.4","9.5","0.7","2.0","2.7","1.3","0.46","0.12","0.5","2.0","2.9","10.4"
"7","Stanley Johnson, SF","23","7","22.6","9.3","0.9","3.4","4.3","1.3","1.00","0.22","1.4","2.0","0.9","10.8"
"8","Ish Smith, PG","22","0","24.4","9.2","0.0","1.9","1.9","3.0","0.45","0.27","1.1","2.4","2.6","9.0"
"9","Luke Kennard, SG","10","4","19.0","7.0","0.1","2.8","2.9","1.3","0.30","0.30","1.2","1.8","1.1","9.2"
"10","Henry Ellenson, PF","2","0","12.5","6.0","0.0","4.5","4.5","0.5","0.00","0.00","0.0","1.0","0.0","15.0"
"11","Glenn Robinson III, SG","24","16","16.0","4.8","0.3","1.2","1.5","0.5","0.33","0.21","0.5","1.0","0.8","7.0"
"12","Jon Leuer, PF","15","1","10.3","4.4","0.8","1.7","2.5","0.4","0.33","0.00","0.5","1.4","0.8","15.8"
"13","Zaza Pachulia, C","26","0","12.9","4.3","1.8","2.6","4.4","1.4","0.65","0.15","0.7","2.2","1.9","16.1"
"14","Bruce Brown, SG","20","7","18.5","4.3","0.6","1.9","2.5","1.0","0.60","0.50","0.6","2.5","1.6","7.2"
"15","Jose Calderon, PG","21","0","11.9","2.2","0.1","0.9","1.0","2.1","0.57","0.10","0.6","1.3","3.8","7.2"
"16","Khyri Thomas, SG","5","0","5.4","1.8","0.4","1.0","1.4","0.6","0.00","0.00","0.4","0.2","1.5","8.9"
