"","PLAYER","GP","GS","MIN","PPG","OFFR","DEFR","RPG","APG","SPG","BPG","TPG","FPG","A/TO","PER"
"2","Stephen Curry, PG","19","19","33.6","29.3","0.5","4.7","5.2","5.7","1.21","0.32","3.1","2.3","1.9","28.1"
"3","Kevin Durant, SF","30","30","35.7","29.0","0.5","7.2","7.7","6.2","0.93","0.97","3.5","2.0","1.8","26.6"
"4","Klay Thompson, SG","30","30","34.7","22.6","0.3","3.8","4.2","1.9","1.03","0.63","1.9","1.9","1.0","15.4"
"5","Quinn Cook, PG","27","8","17.6","8.7","0.3","2.2","2.5","1.9","0.41","0.07","0.9","1.6","2.1","14.2"
"6","Jonas Jerebko, PF","30","5","20.5","7.3","1.3","4.1","5.4","1.8","0.40","0.23","0.9","2.6","2.0","13.7"
"7","Draymond Green, PF","16","16","30.1","6.3","0.8","7.1","7.9","7.3","1.69","0.88","3.4","3.1","2.2","11.8"
"8","Alfonzo McKinnie, SF","21","0","16.1","6.2","1.4","2.8","4.1","0.5","0.14","0.29","0.5","2.0","0.9","12.7"
"9","Kevon Looney, SF","30","8","20.3","6.1","2.5","2.8","5.4","2.0","0.33","0.83","0.8","2.9","2.6","16.0"
"10","Damian Jones, C","24","22","17.1","5.4","1.3","1.8","3.1","1.2","0.50","1.04","0.7","2.6","1.8","15.7"
"11","Damion Lee, SG","15","0","12.7","4.9","0.2","1.7","1.9","0.2","0.53","0.00","0.5","1.3","0.4","10.4"
"12","Andre Iguodala, SG","25","11","23.4","4.8","0.7","2.5","3.2","3.0","0.80","0.64","1.0","1.4","3.1","10.7"
"13","Shaun Livingston, PG","20","0","16.6","4.5","0.9","1.2","2.1","2.2","0.60","0.50","0.7","1.4","3.1","11.9"
"14","Jordan Bell, PF","29","1","12.6","2.7","0.8","2.0","2.8","1.3","0.45","0.86","0.6","1.6","2.2","12.9"
"15","Marcus Derrickson, F","4","0","4.8","1.3","0.0","0.5","0.5","0.0","0.00","0.00","0.5","1.3","0.0","-5.6"
"16","Jacob Evans, SG","18","0","4.6","0.5","0.1","0.3","0.4","0.6","0.06","0.06","0.2","0.6","2.8","-0.4"
