"","PLAYER","GP","GS","MIN","PPG","OFFR","DEFR","RPG","APG","SPG","BPG","TPG","FPG","A/TO","PER"
"2","James Harden, PG","25","25","36.1","30.9","0.6","5.2","5.8","8.3","2.04","0.52","5.6","3.4","1.5","27.7"
"3","Clint Capela, C","28","28","33.7","17.7","4.8","6.9","11.6","1.5","0.50","2.00","1.6","2.9","0.9","25.0"
"4","Chris Paul, PG","23","23","34.1","16.0","0.7","3.7","4.3","8.1","2.09","0.30","3.0","2.6","2.7","18.2"
"5","Eric Gordon, SG","25","11","32.7","15.1","0.4","1.8","2.2","1.8","0.52","0.44","1.3","2.0","1.4","9.8"
"6","Carmelo Anthony, PF","10","2","29.4","13.4","0.9","4.5","5.4","0.5","0.40","0.70","0.8","3.2","0.6","11.5"
"7","James Ennis III, SF","23","22","25.2","8.0","1.0","1.8","2.7","0.6","0.91","0.43","0.6","3.3","1.0","11.1"
"8","PJ Tucker, SF","28","28","34.9","7.7","1.4","4.7","6.1","1.0","1.14","0.36","0.9","3.0","1.0","8.7"
"9","Danuel House Jr., SF","10","0","20.6","7.6","0.8","2.1","2.9","0.7","0.40","0.10","0.6","2.0","1.2","11.2"
"10","Gerald Green, SG","24","0","17.3","7.5","0.6","1.9","2.5","0.5","0.33","0.17","0.6","1.8","0.8","11.8"
"11","Nene Hilario, C","7","0","14.4","5.3","1.0","2.3","3.3","0.9","0.29","0.43","0.3","3.0","3.0","14.8"
"12","Michael Carter-Williams, PG","15","1","9.3","4.3","0.2","0.7","0.9","1.3","0.60","0.40","0.7","1.7","2.0","12.6"
"13","Gary Clark, PF","22","0","16.9","3.4","0.5","2.3","2.9","0.5","0.45","0.77","0.1","1.2","5.0","8.1"
"14","Vincent Edwards, SF","1","0","4.0","3.0","1.0","0.0","1.0","0.0","0.00","0.00","0.0","0.0","0.0","33.1"
"15","Isaiah Hartenstein, PF","21","0","8.2","2.1","0.8","0.8","1.6","0.5","0.19","0.43","0.6","2.0","0.8","9.6"
"16","Marquese Chriss, PF","9","0","5.9","2.1","0.3","0.8","1.1","0.3","0.11","0.22","0.6","1.0","0.6","5.5"
