"","PLAYER","GP","GS","MIN","PPG","OFFR","DEFR","RPG","APG","SPG","BPG","TPG","FPG","A/TO","PER"
"2","Victor Oladipo, SG","19","19","32.3","20.8","0.5","6.1","6.6","5.1","1.74","0.42","2.3","1.9","2.3","20.5"
"3","Bojan Bogdanovic, SF","30","30","31.5","16.5","0.4","3.5","3.9","1.5","0.77","0.00","1.8","1.7","0.8","15.3"
"4","Domantas Sabonis, PF","28","1","24.7","14.0","2.5","7.4","9.9","3.1","0.54","0.57","2.5","3.2","1.2","23.4"
"5","Myles Turner, C","29","29","27.8","12.7","1.3","5.3","6.6","1.6","0.38","2.72","1.7","2.7","1.0","16.4"
"6","Thaddeus Young, PF","30","30","29.5","11.6","2.1","3.8","5.9","1.6","1.47","0.43","1.2","2.2","1.4","14.9"
"7","Tyreke Evans, SG","28","11","21.9","10.6","0.6","2.5","3.0","2.4","1.32","0.32","2.1","1.9","1.2","11.5"
"8","Darren Collison, PG","30","30","27.8","9.0","0.5","2.2","2.7","5.8","1.50","0.10","1.5","1.9","3.8","14.4"
"9","Cory Joseph, PG","30","0","26.2","7.5","0.4","3.2","3.6","3.9","1.30","0.23","1.2","1.6","3.2","12.3"
"10","Doug McDermott, SF","30","0","17.5","7.3","0.2","1.2","1.4","0.8","0.27","0.13","0.4","1.5","1.9","12.9"
"11","Aaron Holiday, PG","18","0","12.7","6.0","0.1","1.9","2.1","1.4","0.56","0.33","0.7","1.3","1.9","13.6"
"12","Kyle O'Quinn, C","15","0","6.9","2.8","0.8","1.8","2.6","1.3","0.20","0.53","0.5","1.3","2.4","19.6"
"13","T.J. Leaf, PF","16","0","7.3","2.3","0.6","1.0","1.6","0.3","0.13","0.13","0.3","0.6","1.0","8.7"
"14","Edmond Sumner, PG","7","0","4.0","0.7","0.3","0.1","0.4","0.1","0.14","0.00","0.4","0.6","0.3","-2.6"
"15","Alize Johnson, PF","4","0","3.0","0.5","0.0","1.0","1.0","0.0","0.00","0.25","0.0","0.8","0.0","0.2"
"16","Davon Reed, SG","3","0","2.0","0.0","0.0","0.0","0.0","0.0","0.00","0.00","0.0","0.3","0.0","-2.6"
