"","PLAYER","GP","GS","MIN","PPG","OFFR","DEFR","RPG","APG","SPG","BPG","TPG","FPG","A/TO","PER"
"2","Tobias Harris, SF","29","29","34.7","20.9","0.7","7.4","8.1","2.2","0.59","0.45","2.0","2.1","1.1","18.4"
"3","Danilo Gallinari, SF","28","28","31.5","19.0","1.0","5.1","6.0","2.2","0.71","0.29","1.3","2.0","1.8","19.8"
"4","Lou Williams, SG","26","0","25.2","17.2","0.5","2.0","2.6","4.5","0.54","0.08","2.3","0.9","1.9","18.3"
"5","Montrezl Harrell, PF","29","0","25.3","15.1","2.3","4.3","6.7","1.6","0.86","1.55","1.4","2.8","1.1","24.4"
"6","Shai Gilgeous-Alexander, PG","29","20","27.1","10.4","0.9","2.3","3.2","2.9","1.03","0.69","1.9","1.8","1.6","13.3"
"7","Boban Marjanovic, C","22","6","11.3","8.0","1.9","3.0","4.9","0.5","0.36","0.68","1.0","1.7","0.6","30.3"
"8","Avery Bradley, SG","23","23","29.7","7.7","0.5","1.9","2.4","1.8","0.70","0.48","1.6","2.7","1.2","4.8"
"9","Patrick Beverley, PG","29","16","24.5","6.4","0.7","3.0","3.7","3.4","0.72","0.34","1.1","3.4","3.1","9.1"
"10","Marcin Gortat, C","23","23","17.9","5.3","1.3","4.5","5.8","1.7","0.09","0.57","1.1","2.2","1.5","12.5"
"11","Luc Mbah a Moute, PF","4","0","15.3","5.0","0.5","1.3","1.8","0.5","0.25","0.25","0.5","2.0","1.0","7.2"
"12","Mike Scott, PF","29","0","15.3","4.9","0.5","3.2","3.7","0.9","0.38","0.17","0.6","1.8","1.6","10.1"
"13","Tyrone Wallace, SG","19","0","7.6","3.3","0.3","0.8","1.1","0.5","0.16","0.11","0.4","0.9","1.4","8.4"
"14","Milos Teodosic, PG","15","0","10.0","3.2","0.2","0.9","1.1","2.1","0.20","0.07","1.4","1.8","1.5","7.0"
"15","Jerome Robinson, SG","8","0","5.0","2.9","0.0","0.4","0.4","0.1","0.00","0.00","0.1","0.8","1.0","13.2"
"16","Sindarius Thornwell, SG","15","0","6.8","1.3","0.0","1.2","1.2","0.5","0.07","0.13","0.5","1.3","1.1","3.0"
