"","PLAYER","GP","GS","MIN","PPG","OFFR","DEFR","RPG","APG","SPG","BPG","TPG","FPG","A/TO","PER"
"2","LeBron James, SF","30","30","34.7","27.7","0.9","6.8","7.7","7.0","1.30","0.73","3.4","1.6","2.0","26.7"
"3","Kyle Kuzma, PF","30","28","31.8","18.1","0.8","4.8","5.6","2.2","0.63","0.60","1.7","2.3","1.3","16.1"
"4","Brandon Ingram, SF","20","20","30.8","15.2","0.7","3.3","4.0","2.2","0.70","0.70","2.3","2.8","1.0","11.6"
"5","JaVale McGee, C","29","29","23.5","11.8","2.5","4.1","6.7","0.8","0.76","2.55","1.6","2.6","0.5","21.9"
"6","Kentavious Caldwell-Pope, SG","30","3","21.7","9.2","0.5","1.9","2.4","0.8","0.80","0.17","0.5","1.4","1.7","12.7"
"7","Josh Hart, SG","30","9","25.2","9.0","0.5","2.7","3.2","1.1","1.03","0.67","0.8","2.4","1.4","11.4"
"8","Lonzo Ball, PG","30","28","28.9","8.6","1.1","4.1","5.2","5.0","1.53","0.37","2.1","2.2","2.4","11.5"
"9","Rajon Rondo, G","11","2","25.3","8.5","0.9","3.6","4.5","6.5","1.18","0.00","2.3","2.3","2.8","13.9"
"10","Lance Stephenson, SG","30","0","15.2","7.6","0.5","2.7","3.2","1.9","0.73","0.10","1.3","1.5","1.5","14.5"
"11","Michael Beasley, SF","10","0","7.1","4.4","0.3","1.1","1.4","0.3","0.20","0.00","0.7","1.5","0.4","12.5"
"12","Moritz Wagner, C","7","0","6.3","3.9","0.1","1.3","1.4","0.7","0.14","0.00","0.4","0.9","1.7","14.3"
"13","Johnathan Williams, PF","6","0","14.2","3.8","1.8","1.7","3.5","0.7","0.17","0.50","0.3","3.2","2.0","11.2"
"14","Sviatoslav Mykhailiuk, SG","19","0","11.6","3.5","0.3","0.6","0.9","0.9","0.42","0.00","0.7","0.6","1.4","6.1"
"15","Tyson Chandler, C†","20","1","20.8","3.4","2.4","5.0","7.4","0.6","0.60","0.40","0.9","2.5","0.7","10.5"
"16","Ivica Zubac, C","10","0","7.2","2.4","1.0","1.7","2.7","0.3","0.10","0.30","0.4","1.2","0.8","14.1"
