"","PLAYER","GP","GS","MIN","PPG","OFFR","DEFR","RPG","APG","SPG","BPG","TPG","FPG","A/TO","PER"
"2","Mike Conley, PG","29","29","34.1","20.4","0.5","2.8","3.3","6.5","1.24","0.45","1.8","1.9","3.7","20.8"
"3","Marc Gasol, C","29","29","34.7","16.3","1.1","7.6","8.7","4.1","1.41","1.45","2.0","2.8","2.0","18.5"
"4","Jaren Jackson Jr., PF","29","27","25.3","13.0","1.2","3.4","4.6","1.2","1.03","1.83","1.6","3.8","0.8","18.4"
"5","JaMychal Green, PF","17","2","23.4","11.2","2.2","4.6","6.8","0.7","1.00","0.65","1.7","2.9","0.4","17.5"
"6","Jevon Carter, PG","1","0","22.0","11.0","0.0","1.0","1.0","0.0","2.00","1.00","1.0","3.0","0.0","16.2"
"7","Garrett Temple, SG","29","29","31.8","10.3","0.4","2.8","3.1","1.4","1.07","0.28","1.1","3.0","1.3","9.8"
"8","Shelvin Mack, PG","29","1","24.9","8.7","0.4","1.7","2.1","3.2","1.00","0.07","1.3","1.7","2.5","11.8"
"9","MarShon Brooks, SG","26","0","13.9","7.1","0.5","1.2","1.7","0.9","0.35","0.15","0.7","1.2","1.4","13.6"
"10","Dillon Brooks, SG","11","0","18.9","6.8","0.5","1.5","2.1","0.9","0.73","0.36","0.8","2.7","1.1","9.4"
"11","Kyle Anderson, SF","28","25","29.2","6.7","1.2","5.1","6.3","3.0","1.14","0.79","1.2","2.5","2.5","11.9"
"12","Wayne Selden, SG","24","0","15.9","5.8","0.5","0.8","1.3","1.3","0.42","0.21","0.8","1.7","1.6","9.1"
"13","Chandler Parsons, SF","3","3","15.3","5.7","0.3","1.0","1.3","0.7","0.33","0.33","0.7","2.3","1.0","7.3"
"14","Joakim Noah, C","7","0","14.3","5.3","1.1","2.3","3.4","0.9","0.43","0.71","1.6","2.0","0.5","10.4"
"15","Omri Casspi, SF","23","0","12.0","4.8","0.3","2.6","2.9","0.8","0.39","0.17","0.5","0.9","1.6","15.5"
"16","Ivan Rabb, PF","9","0","6.3","2.1","0.4","1.7","2.1","0.7","0.11","0.11","0.9","1.3","0.8","10.1"
