"","PLAYER","GP","GS","MIN","PPG","OFFR","DEFR","RPG","APG","SPG","BPG","TPG","FPG","A/TO","PER"
"2","Josh Richardson, SG","28","28","34.7","18.6","0.9","2.9","3.8","3.5","1.25","0.54","2.1","3.1","1.7","14.3"
"3","Goran Dragic, PG","14","14","29.1","15.3","0.6","2.5","3.1","4.9","0.71","0.29","2.5","2.1","1.9","13.5"
"4","Dwyane Wade, SG","21","0","25.5","14.7","1.1","2.5","3.6","3.8","0.52","0.57","2.5","1.8","1.5","14.9"
"5","Hassan Whiteside, C","24","24","26.5","13.4","4.2","9.2","13.3","0.8","0.58","2.88","1.7","3.0","0.5","22.6"
"6","Rodney McGruder, SF","29","29","31.0","11.1","1.1","3.6","4.7","2.6","0.83","0.14","1.4","2.5","1.9","11.0"
"7","Tyler Johnson, SG","22","2","25.2","11.0","0.5","2.5","3.0","2.3","0.86","0.50","1.4","2.0","1.6","12.7"
"8","Justise Winslow, SF","25","12","28.1","10.5","1.0","4.0","5.1","3.4","0.88","0.36","2.1","2.4","1.6","10.4"
"9","Kelly Olynyk, PF","28","5","20.8","9.9","1.0","3.4","4.4","2.1","0.71","0.43","1.4","2.4","1.5","16.5"
"10","Wayne Ellington, SG","18","10","24.7","9.2","0.3","2.0","2.3","1.5","1.17","0.17","0.7","1.8","2.1","10.7"
"11","Bam Adebayo, C","29","5","21.0","8.0","2.2","5.0","7.2","1.8","0.69","1.00","1.3","2.5","1.4","18.4"
"12","James Johnson, PF","14","12","20.0","7.6","0.5","2.5","3.0","2.3","0.50","0.36","1.4","2.4","1.7","9.0"
"13","Derrick Jones Jr., SF","19","4","16.7","6.1","1.7","2.6","4.3","0.5","0.79","0.68","0.6","1.9","0.8","14.4"
"14","Duncan Robinson, SF","4","0","7.3","1.5","0.0","1.3","1.3","0.0","0.25","0.00","0.0","0.3","0.0","6.6"
"15","Udonis Haslem, PF","3","0","4.7","1.3","0.3","1.3","1.7","0.0","0.00","0.00","0.7","1.0","0.0","-4.2"
"16","Totals","29","--","--","106.8","12.4","35.1","47.5","22.7","7.55","6.41","15.0","22.5","1.5","--"
