"","PLAYER","GP","GS","MIN","PPG","OFFR","DEFR","RPG","APG","SPG","BPG","TPG","FPG","A/TO","PER"
"2","Giannis Antetokounmpo, PF","26","26","34.0","26.6","2.7","10.5","13.2","6.1","1.35","1.31","4.2","3.3","1.4","28.9"
"3","Khris Middleton, SF","26","26","30.8","17.4","0.4","5.5","5.9","3.8","1.19","0.12","2.4","2.7","1.6","15.7"
"4","Eric Bledsoe, PG","28","28","29.9","16.2","1.2","3.2","4.4","5.8","1.36","0.54","2.2","2.3","2.7","20.2"
"5","Malcolm Brogdon, PG","27","27","30.0","15.3","0.9","3.5","4.4","3.3","0.56","0.19","1.6","1.7","2.0","16.7"
"6","Brook Lopez, C","28","28","28.0","12.2","0.5","3.7","4.2","1.1","0.46","1.82","1.0","2.3","1.0","13.2"
"7","Ersan Ilyasova, PF","24","2","19.9","7.5","1.6","3.9","5.5","1.2","0.54","0.25","0.9","2.8","1.3","12.6"
"8","D.J. Wilson, PF","2","0","9.5","7.0","0.0","0.5","0.5","0.0","1.00","0.00","0.5","2.0","0.0","24.7"
"9","Pat Connaughton, SG","23","1","19.2","6.4","1.0","3.0","4.0","2.0","0.52","0.57","0.4","1.2","4.6","13.8"
"10","Tony Snell, SG","28","2","16.9","6.1","0.4","1.5","1.9","0.7","0.39","0.14","0.3","1.1","2.2","10.7"
"11","John Henson, F","14","0","13.4","5.6","1.1","3.9","5.1","1.0","0.50","0.79","0.9","1.1","1.2","17.5"
"12","Donte DiVincenzo, SG","20","0","17.2","5.5","0.7","2.1","2.8","1.3","0.60","0.20","0.8","1.7","1.6","9.3"
"13","Thon Maker, PF","20","0","12.2","5.0","0.5","2.4","2.9","0.6","0.20","0.60","0.3","1.4","1.8","13.2"
"14","Sterling Brown, SG","19","0","12.8","4.6","0.6","2.0","2.6","0.7","0.16","0.11","0.4","1.3","1.8","11.2"
"15","Christian Wood, PF","6","0","6.2","4.2","0.7","2.0","2.7","0.3","0.00","0.00","0.3","0.3","1.0","24.0"
"16","George Hill, PG†","3","0","19.7","2.7","0.7","2.0","2.7","1.3","1.00","0.33","0.3","1.3","4.0","4.9"
