"","PLAYER","GP","GS","MIN","PPG","OFFR","DEFR","RPG","APG","SPG","BPG","TPG","FPG","A/TO","PER"
"2","Karl-Anthony Towns, C","29","29","33.8","21.7","3.2","8.6","11.8","2.5","0.93","1.72","3.2","3.7","0.8","22.3"
"3","Jimmy Butler, SG†","10","10","36.1","21.3","1.6","3.6","5.2","4.3","2.40","1.00","1.4","1.8","3.1","22.8"
"4","Derrick Rose, PG","27","6","29.5","18.7","0.7","2.2","2.9","4.4","0.67","0.30","1.8","1.2","2.5","20.0"
"5","Andrew Wiggins, SF","25","25","33.1","16.3","0.8","3.1","3.9","2.2","1.28","0.60","1.7","2.0","1.3","12.0"
"6","Robert Covington, SF†","14","14","33.9","13.5","0.7","5.1","5.8","1.0","2.36","1.00","1.1","3.3","0.9","14.1"
"7","Jeff Teague, PG","23","23","31.5","11.6","0.3","2.0","2.3","8.3","1.00","0.48","2.3","2.3","3.6","14.2"
"8","Dario Saric, PF†","15","1","24.1","11.1","1.7","4.3","5.9","1.4","0.60","0.13","0.9","2.1","1.6","16.4"
"9","Taj Gibson, PF","28","28","25.6","10.4","2.8","4.0","6.9","1.4","1.00","0.54","1.0","2.5","1.4","17.2"
"10","Josh Okogie, SG","21","7","18.0","6.6","0.6","2.2","2.9","0.9","0.76","0.33","0.9","1.7","1.1","9.9"
"11","Gorgui Dieng, C","29","0","13.5","5.2","0.8","3.2","3.9","0.8","0.41","0.66","0.8","1.8","1.0","13.8"
"12","Anthony Tolliver, PF","18","0","16.1","4.5","0.4","1.9","2.3","0.7","0.39","0.44","0.7","1.7","1.1","9.0"
"13","Jared Terrell, SG","1","0","21.0","4.0","0.0","1.0","1.0","1.0","2.00","1.00","2.0","2.0","0.5","-3.4"
"14","Tyus Jones, PG","28","2","17.7","3.9","0.3","1.4","1.6","2.8","1.11","0.04","0.5","0.9","5.3","9.5"
"15","Luol Deng, SF","3","0","8.7","3.3","1.7","2.0","3.7","0.3","0.33","0.33","0.3","0.7","1.0","14.4"
"16","James Nunnally, SF","8","0","5.8","2.0","0.0","0.4","0.4","0.6","0.13","0.00","0.1","0.4","5.0","9.1"
