"","PLAYER","GP","GS","MIN","PPG","OFFR","DEFR","RPG","APG","SPG","BPG","TPG","FPG","A/TO","PER"
"2","Anthony Davis, PF","27","27","37.0","28.0","3.3","9.0","12.4","4.7","1.74","2.78","2.3","2.6","2.1","29.8"
"3","Jrue Holiday, PG","31","31","36.7","20.5","1.1","3.1","4.3","8.7","1.81","0.71","3.8","2.6","2.3","18.7"
"4","Julius Randle, PF","31","11","27.7","19.3","2.5","7.0","9.5","2.7","0.61","0.58","2.5","3.4","1.1","22.9"
"5","Nikola Mirotic, PF","25","22","30.0","17.4","1.6","7.6","9.2","1.0","0.76","0.64","1.2","2.4","0.8","18.2"
"6","E'Twaun Moore, G","28","24","29.9","13.9","0.9","1.6","2.4","2.1","0.71","0.21","1.3","2.6","1.7","12.8"
"7","Elfrid Payton, PG","6","6","25.3","9.7","1.2","4.0","5.2","5.3","0.83","0.17","2.0","2.7","2.7","14.0"
"8","Darius Miller, SF","27","0","21.2","6.1","0.2","1.1","1.3","1.6","0.67","0.19","0.7","2.0","2.2","8.2"
"9","Tim Frazier, PG","22","12","19.9","4.5","0.7","2.0","2.6","4.7","0.59","0.05","1.4","2.0","3.4","11.2"
"10","Solomon Hill, SF","19","7","21.9","4.4","0.9","2.5","3.5","1.3","0.63","0.26","0.8","1.6","1.7","7.5"
"11","Frank Jackson, PG","17","0","12.0","4.2","0.1","0.5","0.6","0.5","0.12","0.00","0.6","1.5","0.8","3.7"
"12","Wesley Johnson, SF","21","13","16.7","4.2","0.5","2.0","2.5","0.8","0.43","0.33","0.6","2.0","1.3","7.7"
"13","Ian Clark, SG","25","0","14.1","3.9","0.2","1.4","1.5","1.3","0.24","0.08","0.8","1.4","1.7","4.7"
"14","Cheick Diallo, PF","24","0","10.0","3.7","1.0","2.8","3.7","0.3","0.46","0.54","0.7","1.4","0.5","16.1"
"15","Jahlil Okafor, C","13","2","5.4","2.8","0.8","0.8","1.5","0.1","0.00","0.00","0.5","0.9","0.2","11.8"
"16","Andrew Harrison, SG†","4","0","7.0","2.3","0.3","0.5","0.8","1.5","0.00","0.00","0.0","1.5","0.0","9.7"
