"","PLAYER","GP","GS","MIN","PPG","OFFR","DEFR","RPG","APG","SPG","BPG","TPG","FPG","A/TO","PER"
"2","Tim Hardaway Jr., G","30","30","33.5","21.0","0.5","2.6","3.1","2.9","1.00","0.17","2.0","2.5","1.4","15.7"
"3","Enes Kanter, C","31","19","27.3","15.2","4.2","7.3","11.5","2.0","0.39","0.42","2.1","2.6","1.0","23.0"
"4","Emmanuel Mudiay, PG","24","17","24.8","13.1","0.6","2.3","2.9","3.4","0.88","0.42","1.9","1.8","1.8","16.4"
"5","Trey Burke, PG","22","5","20.3","11.6","0.6","1.6","2.2","3.0","0.64","0.09","1.1","1.0","2.8","16.8"
"6","Allonzo Trier, SG","27","3","23.3","11.3","0.6","2.5","3.1","1.9","0.41","0.37","1.9","1.6","1.0","13.7"
"7","Damyean Dotson, SG","23","9","26.4","11.1","0.8","3.3","4.1","1.0","0.91","0.17","0.8","1.8","1.3","13.2"
"8","Kevin Knox, SF","24","6","22.9","10.5","0.8","3.2","3.9","0.9","0.54","0.42","1.1","2.0","0.8","9.8"
"9","Noah Vonleh, PF","31","24","26.3","8.4","1.8","6.4","8.2","2.3","0.71","0.90","1.3","2.6","1.8","15.2"
"10","Mario Hezonja, SF","29","11","18.1","7.1","0.3","2.9","3.2","1.0","0.72","0.10","1.2","1.7","0.9","7.8"
"11","Frank Ntilikina, PG","28","14","22.3","6.5","0.1","1.8","1.9","2.6","0.75","0.39","1.5","2.5","1.8","6.7"
"12","Mitchell Robinson, C","28","12","17.2","4.7","2.1","1.8","3.9","0.6","0.68","1.82","0.6","3.2","1.1","16.8"
"13","Courtney Lee, SG","6","0","14.0","4.7","0.8","1.8","2.7","2.0","0.67","0.17","0.2","1.3","12.0","14.1"
"14","Lance Thomas, SF","11","5","15.2","3.9","0.4","1.8","2.2","0.5","0.64","0.27","0.5","2.0","1.0","6.9"
"15","Luke Kornet, PF","9","0","6.3","2.0","0.6","0.9","1.4","0.3","0.22","0.44","0.2","0.3","1.5","15.3"
"16","Ron Baker, G","11","0","9.7","1.3","0.1","0.5","0.6","1.2","0.45","0.00","0.3","1.5","4.3","4.5"
