"","PLAYER","GP","GS","MIN","PPG","OFFR","DEFR","RPG","APG","SPG","BPG","TPG","FPG","A/TO","PER"
"2","Paul George, SF","28","28","35.1","24.9","1.4","6.4","7.8","4.3","2.14","0.75","2.8","2.9","1.6","22.8"
"3","Russell Westbrook, PG","20","20","34.1","21.1","1.3","9.2","10.5","10.0","2.40","0.25","4.5","3.4","2.2","21.1"
"4","Dennis Schroder, PG","28","9","29.3","16.5","0.5","3.6","4.1","4.8","1.07","0.18","2.8","2.5","1.7","14.4"
"5","Steven Adams, C","27","27","33.5","16.0","4.9","4.9","9.8","1.7","1.41","0.96","1.5","2.4","1.1","21.1"
"6","Jerami Grant, SF","28","25","30.3","11.8","0.9","3.8","4.7","1.1","0.75","1.25","1.0","2.5","1.1","13.5"
"7","Hamidou Diallo, SG","22","2","12.6","5.6","1.0","1.2","2.3","0.5","0.64","0.23","0.5","1.9","0.9","14.5"
"8","Nerlens Noel, PF","27","1","14.1","5.4","2.0","3.0","5.0","0.4","1.04","1.37","0.6","2.4","0.8","22.2"
"9","Alex Abrines, SG","25","2","19.8","5.3","0.1","1.5","1.6","0.8","0.64","0.16","0.6","1.6","1.4","5.9"
"10","Raymond Felton, PG","13","0","11.0","4.8","0.2","1.3","1.5","1.8","0.46","0.31","0.8","0.8","2.3","11.1"
"11","Terrance Ferguson, SG","22","22","21.5","4.1","0.5","1.4","1.9","0.8","0.50","0.18","0.7","2.7","1.1","4.2"
"12","Patrick Patterson, PF","28","3","15.4","4.1","0.8","1.9","2.7","0.5","0.43","0.18","0.4","1.0","1.4","7.5"
"13","Deonte Burton, G","15","0","8.7","3.3","0.1","1.0","1.1","0.3","0.20","0.33","0.5","1.1","0.7","8.1"
"14","Timothe Luwawu-Cabarrot, SG","15","1","7.5","2.3","0.3","0.8","1.1","0.3","0.27","0.07","0.3","0.9","0.8","5.3"
"15","Abdel Nader, SF","12","0","3.1","1.0","0.1","0.8","0.8","0.1","0.17","0.08","0.4","0.3","0.2","6.6"
"16","Tyler Davis, C","1","0","1.0","0.0","1.0","0.0","1.0","0.0","0.00","0.00","0.0","0.0","0.0","0.0"
