"","PLAYER","GP","GS","MIN","PPG","OFFR","DEFR","RPG","APG","SPG","BPG","TPG","FPG","A/TO","PER"
"2","Nikola Vucevic, C","29","29","30.8","20.6","2.4","9.3","11.7","3.7","1.00","1.00","2.1","2.1","1.8","26.4"
"3","Aaron Gordon, PF","27","27","32.6","15.7","1.8","5.4","7.2","3.0","0.93","0.78","1.9","2.4","1.6","15.8"
"4","Evan Fournier, SG","28","28","30.5","15.2","0.4","2.7","3.1","3.7","0.96","0.25","2.0","3.0","1.9","12.3"
"5","Terrence Ross, SG","29","0","25.7","14.1","0.2","2.6","2.7","1.7","0.93","0.45","1.2","2.0","1.4","15.3"
"6","D.J. Augustin, PG","29","29","27.6","10.3","0.5","1.8","2.3","5.0","0.38","0.00","1.3","1.2","3.8","14.4"
"7","Jonathan Isaac, PF","23","12","23.9","8.0","1.0","4.1","5.1","0.9","0.83","1.30","1.2","2.2","0.7","11.8"
"8","Jonathon Simmons, SF","27","7","21.7","7.3","0.5","1.9","2.4","2.1","0.48","0.44","1.3","1.7","1.6","7.8"
"9","Mo Bamba, C","28","0","16.9","6.8","1.4","3.3","4.6","1.1","0.29","1.39","0.8","2.1","1.5","16.5"
"10","Wesley Iwundu, SF","20","12","16.8","4.4","0.4","1.6","2.0","1.0","0.30","0.20","0.6","1.6","1.8","6.8"
"11","Jerian Grant, PG","29","0","19.4","4.1","0.4","1.6","2.0","3.3","1.07","0.10","1.2","1.8","2.8","9.1"
"12","Jarell Martin, PF","17","1","9.4","2.5","0.3","1.6","1.9","0.6","0.12","0.18","0.4","1.1","1.4","5.9"
"13","Khem Birch, C","9","0","7.3","2.4","0.7","1.4","2.1","0.2","0.44","0.22","0.3","0.8","0.7","16.4"
"14","Isaiah Briscoe, PG","10","0","7.0","1.9","0.0","0.6","0.6","0.9","0.00","0.00","0.3","0.8","3.0","5.1"
"15","Melvin Frazier Jr., SG","3","0","5.3","0.0","0.0","0.3","0.3","0.0","0.33","0.00","0.3","1.0","0.0","-9.6"
"16","Totals","29","--","--","104.0","8.8","33.8","42.6","25.3","7.00","5.62","13.2","19.9","1.9","--"
