"","PLAYER","GP","GS","MIN","PPG","OFFR","DEFR","RPG","APG","SPG","BPG","TPG","FPG","A/TO","PER"
"2","Joel Embiid, C","30","30","34.2","26.9","2.4","11.0","13.4","3.6","0.53","1.87","3.3","3.4","1.1","25.2"
"3","Jimmy Butler, SG†","14","14","31.4","19.7","1.9","3.0","4.9","2.9","1.79","0.64","1.5","1.9","1.9","22.1"
"4","JJ Redick, SG","31","18","31.1","18.2","0.3","2.0","2.2","3.0","0.19","0.23","1.5","2.1","2.0","14.5"
"5","Ben Simmons, PG","30","30","33.4","15.9","2.1","6.9","9.1","7.9","1.47","0.83","3.4","2.8","2.4","20.9"
"6","Robert Covington, SF†","13","13","33.8","11.3","0.5","4.6","5.2","1.1","1.85","1.77","1.7","3.5","0.6","11.2"
"7","Dario Saric, PF†","13","13","30.5","11.1","1.6","5.0","6.6","2.0","0.31","0.23","1.9","3.0","1.0","8.4"
"8","Mike Muscala, PF","24","2","23.8","8.2","1.2","3.5","4.8","1.4","0.38","0.67","1.0","2.6","1.4","11.1"
"9","Landry Shamet, PG","31","2","20.9","8.2","0.3","1.2","1.5","1.0","0.45","0.13","0.5","1.9","1.9","10.6"
"10","Markelle Fultz, PG","19","15","22.5","8.2","1.4","2.3","3.7","3.1","0.89","0.26","1.3","2.7","2.4","10.8"
"11","Wilson Chandler, SF","19","15","25.4","6.2","1.4","3.3","4.7","1.9","0.37","0.47","1.2","2.6","1.6","8.5"
"12","T.J. McConnell, PG","25","0","18.6","6.0","0.3","1.4","1.8","3.0","1.00","0.24","1.4","1.5","2.2","13.4"
"13","Furkan Korkmaz, SG","23","2","14.1","5.6","0.3","1.9","2.2","1.3","0.65","0.09","0.5","1.2","2.6","11.8"
"14","Amir Johnson, C","28","1","10.0","3.9","0.8","2.0","2.8","1.2","0.25","0.25","1.0","2.1","1.1","12.6"
"15","Demetrius Jackson, PG","1","0","6.0","2.0","0.0","0.0","0.0","0.0","1.00","0.00","1.0","0.0","0.0","12.6"
"16","Jonah Bolden, PF","8","0","5.6","1.5","0.3","1.3","1.5","0.3","0.38","0.13","0.4","0.9","0.7","8.2"
