"","PLAYER","GP","GS","MIN","PPG","OFFR","DEFR","RPG","APG","SPG","BPG","TPG","FPG","A/TO","PER"
"2","Devin Booker, SG","20","20","35.3","23.8","0.5","3.3","3.8","6.8","1.10","0.10","4.0","3.4","1.7","17.5"
"3","T.J. Warren, SF","24","17","29.3","18.1","0.8","3.3","4.0","1.3","0.83","0.75","1.1","2.8","1.2","19.0"
"4","Deandre Ayton, C","30","29","30.6","15.6","2.5","7.6","10.1","2.5","0.57","0.93","1.9","2.9","1.3","20.0"
"5","Trevor Ariza, SF","26","26","34.0","9.9","0.6","5.0","5.6","3.3","1.46","0.31","1.5","1.7","2.2","10.9"
"6","Josh Jackson, SF","30","9","21.3","8.8","0.6","3.0","3.6","2.2","1.00","0.57","2.5","2.3","0.9","7.8"
"7","Mikal Bridges, SF","30","16","24.0","7.6","0.5","1.9","2.4","1.2","1.30","0.37","0.8","2.2","1.5","10.1"
"8","Isaiah Canaan, G","19","15","26.5","7.5","0.3","2.3","2.6","3.3","0.63","0.00","1.5","2.4","2.1","7.6"
"9","Richaun Holmes, PF","29","1","15.0","7.1","1.7","2.8","4.5","0.6","0.59","1.14","1.0","2.6","0.6","21.0"
"10","Troy Daniels, SG","13","0","15.8","7.1","0.3","1.2","1.5","0.6","0.69","0.08","0.9","1.5","0.7","11.2"
"11","De'Anthony Melton, PG","13","5","18.5","7.1","0.3","2.4","2.7","3.0","1.31","0.23","1.8","2.2","1.7","11.3"
"12","Jamal Crawford, SG","26","0","16.8","6.9","0.1","1.0","1.1","2.9","0.38","0.15","1.4","1.3","2.0","9.6"
"13","Elie Okobo, PG","18","4","19.8","6.7","0.3","1.8","2.1","2.6","0.83","0.17","1.4","2.7","1.8","7.6"
"14","Ryan Anderson, PF","15","8","18.5","3.7","0.9","2.1","3.0","1.1","0.20","0.07","0.8","1.5","1.4","4.8"
"15","Tyson Chandler, C†","7","0","12.7","3.7","1.0","4.6","5.6","0.9","0.29","0.14","1.0","3.0","0.9","11.9"
"16","Dragan Bender, PF","10","0","8.6","2.3","0.5","1.0","1.5","0.5","0.00","0.00","0.6","0.8","0.8","5.1"
