"","PLAYER","GP","GS","MIN","PPG","OFFR","DEFR","RPG","APG","SPG","BPG","TPG","FPG","A/TO","PER"
"2","Damian Lillard, PG","29","29","35.2","26.9","0.8","4.2","5.0","6.0","0.86","0.45","2.6","1.8","2.3","24.7"
"3","CJ McCollum, SG","28","28","34.4","21.7","0.9","2.9","3.8","2.5","0.86","0.36","1.8","2.6","1.4","17.4"
"4","Jusuf Nurkic, C","29","29","26.6","14.4","3.9","6.6","10.5","2.5","1.03","1.31","2.1","3.1","1.2","22.9"
"5","Al-Farouq Aminu, PF","29","29","30.1","9.5","1.4","6.8","8.1","0.7","1.00","0.38","0.9","2.3","0.7","12.5"
"6","Evan Turner, SG","28","0","25.7","8.1","0.6","4.5","5.1","4.3","0.75","0.32","1.9","2.0","2.2","11.5"
"7","Zach Collins, PF","29","0","19.1","7.7","1.4","2.8","4.2","0.9","0.38","0.93","1.2","2.8","0.7","14.5"
"8","Nik Stauskas, SG","29","0","16.8","6.9","0.3","1.4","1.8","1.6","0.31","0.14","1.1","0.9","1.5","11.7"
"9","Jake Layman, SF","23","20","15.7","5.6","0.7","1.8","2.5","0.3","0.65","0.35","0.6","1.1","0.5","12.8"
"10","Meyers Leonard, PF","26","0","12.5","5.3","1.0","3.0","4.0","1.1","0.27","0.12","0.6","1.5","1.8","18.2"
"11","Seth Curry, SG","23","1","16.7","4.7","0.3","1.0","1.3","0.8","0.22","0.09","0.8","1.3","1.0","6.1"
"12","Maurice Harkless, SF","16","9","19.1","4.6","0.6","2.9","3.5","0.8","0.69","0.88","0.6","2.4","1.3","9.1"
"13","Gary Trent Jr., SG","3","0","6.7","3.3","0.0","1.3","1.3","0.0","0.00","0.00","0.3","0.3","0.0","0.5"
"14","Caleb Swanigan, PF","12","0","9.4","2.3","0.9","2.6","3.5","0.4","0.33","0.00","1.1","1.3","0.4","3.8"
"15","Anfernee Simons, SG","5","0","6.8","2.2","0.0","1.0","1.0","0.2","0.00","0.00","0.6","0.2","0.3","-2.3"
"16","Wade Baldwin IV, PG","9","0","5.7","1.1","0.1","0.8","0.9","0.9","0.00","0.22","0.9","0.3","1.0","-2.5"
