"","PLAYER","GP","GS","MIN","PPG","OFFR","DEFR","RPG","APG","SPG","BPG","TPG","FPG","A/TO","PER"
"2","Buddy Hield, SG","29","29","31.1","19.2","1.1","4.0","5.1","2.5","0.45","0.41","2.1","2.4","1.2","16.7"
"3","De'Aaron Fox, PG","29","29","32.4","18.5","0.5","3.1","3.6","7.5","1.55","0.55","3.2","2.5","2.3","19.2"
"4","Bogdan Bogdanovic, SG","18","3","27.7","15.2","0.5","3.0","3.5","3.9","0.72","0.11","1.2","2.2","3.2","16.1"
"5","Willie Cauley-Stein, C","29","29","28.6","14.2","2.4","6.1","8.5","2.4","1.21","0.55","1.3","3.3","1.8","18.0"
"6","Marvin Bagley III, PF","26","0","23.1","12.7","2.4","3.7","6.1","0.9","0.42","1.04","1.7","2.0","0.6","18.5"
"7","Nemanja Bjelica, PF","29","29","24.6","11.5","1.4","4.5","5.9","2.0","0.90","0.76","1.4","2.7","1.4","17.7"
"8","Iman Shumpert, SG","24","22","25.8","9.2","0.4","2.8","3.1","1.9","1.25","0.33","0.9","2.5","2.1","11.5"
"9","Justin Jackson, SF","28","2","20.1","6.7","0.4","2.1","2.5","1.4","0.43","0.21","0.4","1.2","3.8","10.9"
"10","Troy Williams, SF","16","0","14.9","6.0","0.4","2.3","2.8","0.4","0.56","0.38","0.3","1.9","1.8","13.1"
"11","Yogi Ferrell, PG","19","2","12.6","5.3","0.1","1.3","1.4","1.3","0.42","0.05","0.5","0.8","2.8","12.6"
"12","Frank Mason III, PG","24","0","13.5","5.0","0.1","1.2","1.3","2.9","0.54","0.17","1.0","0.9","2.9","11.8"
"13","Harry Giles, PF","20","0","9.5","4.9","1.0","1.9","2.8","1.2","0.60","0.20","1.0","2.2","1.2","14.1"
"14","Kosta Koufos, C","15","0","14.8","3.9","1.2","4.1","5.3","1.1","0.67","0.47","0.6","1.9","1.9","13.3"
"15","Skal Labissiere, PF","7","0","5.7","2.4","0.1","1.1","1.3","0.3","0.29","0.14","0.6","1.6","0.5","8.9"
"16","Ben McLemore, SG","8","0","5.1","1.9","0.0","0.3","0.3","0.3","0.00","0.00","0.1","0.5","2.0","0.6"
