"","PLAYER","GP","GS","MIN","PPG","OFFR","DEFR","RPG","APG","SPG","BPG","TPG","FPG","A/TO","PER"
"2","DeMar DeRozan, SG","30","30","35.3","23.6","0.8","4.8","5.5","6.1","0.93","0.47","2.5","2.2","2.5","21.3"
"3","LaMarcus Aldridge, PF","30","30","32.8","18.8","3.2","6.4","9.6","2.1","0.47","1.17","2.0","2.1","1.1","19.5"
"4","Rudy Gay, SF","26","23","27.2","14.0","1.2","5.6","6.8","2.2","0.88","0.65","1.7","2.7","1.3","18.8"
"5","Bryn Forbes, G","30","30","26.9","11.8","0.2","2.1","2.3","2.2","0.60","0.03","1.2","2.4","1.9","11.7"
"6","Marco Belinelli, G","29","0","22.1","9.8","0.2","1.8","2.0","1.9","0.55","0.17","0.7","1.5","2.9","11.8"
"7","Patty Mills, PG","30","0","24.9","9.5","0.3","2.3","2.6","2.8","0.50","0.20","1.1","1.5","2.6","12.5"
"8","Davis Bertans, SF","26","4","17.3","7.0","0.5","2.2","2.6","0.9","0.42","0.42","0.5","1.4","2.0","15.3"
"9","Pau Gasol, C","9","0","17.4","6.8","1.2","4.9","6.1","3.3","0.11","1.00","0.8","1.8","4.3","21.3"
"10","Jakob Poeltl, C","26","3","14.2","5.7","2.3","2.7","4.9","1.0","0.23","0.73","0.8","1.4","1.2","21.4"
"11","Derrick White, PG","21","10","20.6","5.6","0.2","2.5","2.7","3.3","0.81","0.00","1.4","1.4","2.4","8.8"
"12","Dante Cunningham, SF","29","20","21.8","4.6","1.2","3.3","4.6","1.2","0.66","0.38","0.5","1.9","2.3","10.8"
"13","Chimezie Metu, PF","18","0","5.8","2.4","0.4","1.0","1.4","0.6","0.28","0.11","0.6","0.4","1.1","12.5"
"14","Quincy Pondexter, SF","24","0","6.2","2.1","0.2","1.0","1.1","0.5","0.29","0.00","0.3","0.7","1.4","13.5"
"15","Drew Eubanks, PF","4","0","3.3","2.0","0.3","0.0","0.3","0.0","0.00","0.00","0.5","0.0","0.0","14.4"
"16","Totals","30","--","--","110.2","10.2","34.1","44.3","23.8","6.00","4.33","12.3","18.5","1.9","--"
