"","PLAYER","GP","GS","MIN","PPG","OFFR","DEFR","RPG","APG","SPG","BPG","TPG","FPG","A/TO","PER"
"2","Kawhi Leonard, SF","24","24","35.0","26.3","1.3","7.1","8.4","3.1","1.75","0.63","2.1","1.7","1.5","25.7"
"3","Serge Ibaka, PF","31","22","27.9","16.7","2.1","5.4","7.5","1.3","0.52","1.35","1.7","3.1","0.8","20.9"
"4","Pascal Siakam, PF","31","30","29.9","14.4","1.3","4.9","6.2","2.7","1.03","0.71","1.6","2.9","1.7","19.2"
"5","Kyle Lowry, PG","29","29","34.2","14.2","0.5","3.9","4.4","10.0","1.38","0.45","2.8","2.2","3.6","18.4"
"6","Jonas Valanciunas, C","30","10","18.8","12.8","1.8","5.4","7.2","1.0","0.43","0.77","1.3","2.7","0.7","25.2"
"7","Danny Green, SG","32","32","29.9","9.8","1.0","3.3","4.2","1.3","0.88","0.81","1.0","2.4","1.3","11.6"
"8","Fred VanVleet, PG","27","6","24.9","9.7","0.4","2.0","2.4","4.5","0.93","0.15","1.4","1.6","3.3","14.0"
"9","OG Anunoby, SF","26","3","20.4","7.6","0.7","2.0","2.7","0.5","0.62","0.27","0.7","2.2","0.8","8.9"
"10","Delon Wright, PG","27","1","17.1","6.1","0.8","1.6","2.4","1.8","0.70","0.26","0.8","0.9","2.3","13.5"
"11","CJ Miles, SF","26","1","15.0","5.3","0.2","1.4","1.7","0.7","0.38","0.23","0.6","1.6","1.1","6.6"
"12","Norman Powell, SF","11","2","14.9","5.0","0.2","1.8","2.0","0.9","0.45","0.09","0.7","1.5","1.3","10.0"
"13","Jordan Loyd, PG","3","0","5.7","4.0","0.3","1.3","1.7","0.3","0.00","0.00","0.3","0.7","1.0","32.0"
"14","Greg Monroe, C","15","0","8.0","3.9","1.3","1.8","3.1","0.3","0.40","0.00","0.8","1.1","0.4","15.4"
"15","Chris Boucher, PF","4","0","3.5","3.3","0.8","1.0","1.8","0.0","0.00","0.75","0.0","0.5","0.0","39.7"
"16","Lorenzo Brown, PG","19","0","8.8","2.4","0.2","1.0","1.2","1.1","0.37","0.26","0.7","0.9","1.5","5.9"
