"","PLAYER","GP","GS","MIN","PPG","OFFR","DEFR","RPG","APG","SPG","BPG","TPG","FPG","A/TO","PER"
"2","Donovan Mitchell, SG","26","26","32.0","20.9","0.4","2.5","3.0","3.2","1.69","0.31","2.5","2.7","1.3","15.6"
"3","Rudy Gobert, C","30","30","30.9","14.3","3.6","8.7","12.3","1.9","0.93","1.93","1.4","2.8","1.3","23.9"
"4","Ricky Rubio, PG","30","30","29.5","12.9","0.3","3.2","3.5","6.1","1.47","0.20","2.9","2.8","2.1","13.0"
"5","Joe Ingles, SF","30","30","31.4","12.0","0.3","3.6","3.9","4.6","1.67","0.20","2.2","2.4","2.1","13.0"
"6","Jae Crowder, PF","30","5","27.5","11.9","0.7","3.9","4.6","1.7","0.73","0.47","0.9","2.1","1.8","12.9"
"7","Derrick Favors, PF","29","25","23.1","11.2","2.9","4.2","7.1","0.9","0.83","1.28","1.2","2.3","0.8","21.6"
"8","Alec Burks, SG†","17","0","15.8","8.4","0.1","1.5","1.6","1.2","0.35","0.24","0.9","1.3","1.3","13.1"
"9","Kyle Korver, SG†","8","0","16.9","8.0","0.3","1.5","1.8","0.6","0.13","0.25","0.8","1.4","0.8","10.2"
"10","Dante Exum, PG","29","0","15.8","6.7","0.3","1.3","1.6","2.1","0.31","0.14","1.3","1.7","1.6","10.2"
"11","Raul Neto, PG","11","0","11.2","4.6","0.2","1.0","1.2","2.5","0.55","0.00","1.0","1.0","2.5","15.9"
"12","Royce O'Neale, SF","30","3","17.3","4.4","0.3","2.7","3.0","1.4","0.53","0.13","0.9","1.8","1.5","8.0"
"13","Grayson Allen, SG","17","1","9.7","4.1","0.1","0.2","0.3","0.4","0.06","0.00","0.6","1.1","0.7","4.0"
"14","Georges Niang, SF","21","0","7.1","3.4","0.1","1.1","1.2","0.6","0.19","0.05","0.3","0.9","2.2","15.0"
"15","Thabo Sefolosha, SF","16","0","11.1","2.4","0.2","2.4","2.6","0.5","0.88","0.06","0.8","0.8","0.7","9.6"
"16","Ekpe Udoh, C","20","0","5.8","1.9","0.2","0.9","1.1","0.4","0.10","0.50","0.3","0.9","1.3","15.6"
