"","PLAYER","GP","GS","MIN","PPG","OFFR","DEFR","RPG","APG","SPG","BPG","TPG","FPG","A/TO","PER"
"2","Bradley Beal, SG","30","30","36.0","23.2","0.8","3.8","4.6","4.4","1.00","0.93","2.5","3.1","1.8","18.5"
"3","John Wall, PG","28","28","34.8","21.5","0.5","3.1","3.6","8.9","1.64","1.00","3.5","2.3","2.5","19.9"
"4","Kelly Oubre Jr., SF","29","7","26.0","12.9","0.8","3.6","4.4","0.7","0.93","0.69","1.0","2.4","0.7","13.7"
"5","Dwight Howard, C","9","9","25.6","12.8","2.7","6.6","9.2","0.4","0.78","0.44","1.8","3.8","0.3","17.8"
"6","Otto Porter Jr., SF","25","25","29.5","11.7","1.0","4.7","5.6","2.0","1.48","0.60","0.9","1.5","2.3","15.5"
"7","Markieff Morris, PF","29","15","26.0","11.4","1.1","4.1","5.2","1.7","0.72","0.62","1.4","3.3","1.3","12.9"
"8","Jeff Green, SF","28","5","25.1","10.9","1.3","3.5","4.8","1.2","0.61","0.54","1.2","2.0","1.0","14.9"
"9","Austin Rivers, PG","29","2","23.6","7.2","0.4","2.1","2.4","2.0","0.62","0.34","1.2","2.5","1.6","7.1"
"10","Sam Dekker, SF†","4","0","13.5","6.8","0.8","2.0","2.8","1.5","1.75","0.25","0.8","0.5","2.0","22.3"
"11","Thomas Bryant, C","20","14","14.2","6.0","1.1","3.0","4.1","0.8","0.35","0.70","0.6","1.1","1.3","19.1"
"12","Tomas Satoransky, SG","30","8","18.6","5.7","0.5","1.4","1.9","3.0","0.73","0.20","0.7","1.8","4.0","13.7"
"13","Devin Robinson, SF","2","0","9.0","5.0","1.0","2.0","3.0","0.5","1.00","0.50","0.0","1.0","0.0","28.9"
"14","Jason Smith, PF†","12","1","10.8","3.7","0.9","2.2","3.1","1.0","0.08","0.42","0.6","1.8","1.7","12.0"
"15","Ian Mahinmi, C","15","6","13.2","3.6","1.5","1.9","3.3","0.5","0.47","0.33","0.5","2.3","1.0","11.5"
"16","Troy Brown Jr., SF","13","0","7.0","2.5","0.2","1.4","1.6","0.8","0.46","0.00","0.3","0.5","2.5","12.3"
